county_fips,state,county,socioeconomic,material_hardship,healthcare_access,preventive_resources,life_expectancy,socioeconomic_z,material_hardship_z,healthcare_access_z,preventive_resources_z,adversity_domain_balanced
01001,AL,Autauga County,-0.5302187103758815,-0.48335284070868756,0.20902879052904538,0.2785204339522691,74.800645825,-0.5894812808526262,-0.47206804049485196,0.33102256082864334,0.4082922751001998,-0.09701056990999782
01003,AL,Baldwin County,-0.7624030456762285,-0.7881201853348461,-0.22610576392717432,-0.1337127961050735,76.580109234,-0.8492975651211182,-0.7965663996871237,-0.32423329153343206,-0.17543933679078297,-0.6459262961632652
01005,AL,Barbour County,1.4729217413787348,1.9658365106502411,0.5812536307106333,0.5041583095081625,72.708991709,1.6520502521405693,2.1356848565290836,0.8915445934406581,0.7278006291054729,1.6278330477227307
01007,AL,Bibb County,1.0252558828703857,0.9346717022795303,0.27075131246632256,0.6411292526884476,72.97737851399998,1.151108275150402,1.0377611640036966,0.423968623851585,0.9217545940338563,1.0641097200184062
01009,AL,Blount County,0.5756033575258839,0.03949558237623581,0.9003706777076654,0.4207521087200585,72.936172299,0.6479432007459279,0.08463023571135146,1.3720932202777558,0.6096955553806536,0.8171745640365191
01011,AL,Bullock County,1.792392055015692,3.2755160654910505,0.9266216580566233,1.4402694039366066,70.96745637000001,2.009540302948144,3.5301546844393483,1.4116237708344508,2.053355189526856,2.7109095737842535
01013,AL,Butler County,1.1849434128590977,1.6314353844452476,0.20516266070637768,0.5522254471364237,71.54191706600001,1.3298000057187498,1.7796341881129025,0.3252006738597714,0.7958647871618908,1.2736165776552075
01015,AL,Calhoun County,0.46461267167166065,0.12018047446549755,-0.20102942977554045,0.6741053666024986,70.813154873,0.5237436609718394,0.17053876743638624,-0.28647160485428713,0.9684495199287728,0.41433119764426674
01017,AL,Chambers County,1.009509841117482,1.6163439607611287,0.6967739308512885,0.554780840581492,71.861783224,1.1334883179087394,1.7635657270073368,1.0655030896312974,0.7994832822902381,1.4336400220221246
01019,AL,Cherokee County,1.0083853648134287,-0.4476843735313425,0.45303156361720953,0.45300962913309833,72.39552918300001,1.1322300191751526,-0.4340903526682592,0.6984588938461388,0.6553729365653066,0.617757978623871
01021,AL,Chilton County,0.44354732139989805,-0.4251711697719818,0.43787526415412165,0.8307878824635568,72.70685112999999,0.5001713513784996,-0.4101196162724846,0.6756354848071775,1.190315519246653,0.588866024767316
01023,AL,Choctaw County,1.2375169483933997,1.3424027067371043,0.38769556575823844,0.6863373545761556,73.06127106000001,1.3886302478008024,1.471889177622067,0.6000714076569347,0.9857702925785194,1.3386029315434285
01025,AL,Clarke County,1.0100901244757554,1.5452828026807743,0.08472006932038592,1.1529562640201108,69.94988944100002,1.134137660017777,1.6879039817253312,0.14382984943064495,1.646513261093318,1.3885853119671592
01027,AL,Clay County,1.0388068824937298,0.606057550247343,0.7442987952574069,0.22763373469775866,71.851139548,1.1662719612177959,0.6878721256206387,1.1370693332584887,0.3362355537739857,1.0017479069078756
01031,AL,Coffee County,0.06468074717235105,-0.2644203585405945,-0.0061474356338505586,0.39525385130697166,74.199504456,0.07621636999700163,-0.23896159884316395,0.006995245510918799,0.5735894440463442,0.12579300493492684
01033,AL,Colbert County,0.4542257054303045,0.09133417574545602,-0.06123006764571562,0.23427294932791243,73.02242544900001,0.5121205556914576,0.139824923684833,-0.07595200981424438,0.34563683240746884,0.2774621739328445
01035,AL,Conecuh County,1.3911300694806719,1.5567875505229858,0.2937241594169819,1.093137786089836,68.96108598900003,1.5605246621425495,1.700153561162058,0.4585627333188264,1.5618089384014104,1.5898908503660303
01039,AL,Covington County,0.8293569017146238,0.2957736798413067,0.08188325433415898,0.4782895361566921,70.64011387500001,0.9318956167682869,0.35750009395138926,0.13955797627610633,0.6911698587913092,0.6382755501454367
01041,AL,Crenshaw County,0.7933143951383272,0.7155298514469044,0.6056681315133653,0.8176082708856485,70.41892702100002,0.8915637394163436,0.804431798901366,0.9283096454680265,1.1716528900612297,1.1427953020606634
01043,AL,Cullman County,0.37110483618088447,-0.3132683069282551,-0.04673756302051893,0.11748321760156823,72.85378832899998,0.41910758233296075,-0.2909720237827135,-0.05412818917349583,0.1802599210326842,0.0765486497202318
01045,AL,Dale County,0.5222342416344998,0.31629603514396243,0.16499922905428616,0.6931067224957971,73.00873036899999,0.5882226973465188,0.3793510919007969,0.2647197872662773,0.9953558712245343,0.6706468496194975
