outcome_id,cesi_measure,model,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
ISOLATION,meaning_cesi,State fixed effects,0.011141216705156635,0.020272666260022238,0.5858310310346654,1540,39,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHR_ALCOHOL_DRIVING_DEATHS,practice_cesi,OLS,-0.019515431041627892,0.026817273511590738,0.46686689653995217,2108,38,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,practice_cesi,State fixed effects,0.03575227808059588,0.04380014131192743,0.4195761266493919,2108,38,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,meaning_cesi,OLS,-0.018617914146050685,0.03148075352544823,0.5543354521908879,1540,39,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,meaning_cesi,State fixed effects,0.03946332912068792,0.025115338252820193,0.12440709254690704,1540,39,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_CHILD_MORTALITY,practice_cesi,OLS,-0.08279158808683877,0.02322818935891831,3.7599701334601005e-4,1548,38,0.009023928320304242,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,practice_cesi,State fixed effects,-0.12280722976790849,0.032519328017815166,5.597349405137208e-4,1548,38,0.02071019279900767,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,meaning_cesi,OLS,0.35553629045141677,0.02420348974184992,1.6964331015541722e-45,1387,39,6.955375716372106e-44,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,meaning_cesi,State fixed effects,0.22820856717049764,0.06256142757914432,7.906191991634624e-4,1387,39,0.03004352956821157,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,practice_cesi,OLS,-0.14702108033078037,0.0236242331435846,6.116698354234203e-10,1707,38,2.2631783910666553e-8,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,practice_cesi,State fixed effects,-0.18460216296540632,0.031657601309822155,1.0628917722825651e-6,1707,38,4.4641454435867736e-5,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,meaning_cesi,OLS,0.27673618834381314,0.026289750279960968,5.183963500364782e-25,1442,39,1.9180664951349694e-23,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,meaning_cesi,State fixed effects,0.17818067172783075,0.05083582058240627,0.0011880371366962228,1442,39,0.04276933692106402,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,practice_cesi,OLS,-0.19781117922173794,0.026837855433621473,3.420026629696726e-13,1064,38,1.3338103855817232e-11,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
