outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
VISION,meaning_cesi,Within state,-0.07461612902338999,0.01010606481965834,2.5224623557216244e-13,1540,39,9.33311071617001e-12,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
VISION,meaning_cesi,Between states,-0.0489829897446295,0.03314239462729097,0.14863035437649044,1540,39,1,CDC PLACES 2024,Vision Disability,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,Within state,-0.051601659422702895,0.009128180593196629,1.7939290455415697e-8,2116,38,6.458144563949651e-7,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,practice_cesi,Between states,-0.018378401092294452,0.0920573124059206,0.8428455822665657,2116,38,1,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,Within state,0.04422483454106194,0.010639603445844503,3.411275202671738e-5,1540,39,8.86931552694652e-4,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ARTHRITIS,meaning_cesi,Between states,0.21292031315424506,0.0853417658293767,0.01694820947580827,1540,39,0.5084462842742481,CDC PLACES 2024,Arthritis,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,Within state,-0.07190093590575736,0.008275835731738276,7.480992098567936e-18,2052,37,3.0672067604128536e-16,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,practice_cesi,Between states,0.2094243240403877,0.09008332339290105,0.025682696759686884,2052,37,0.9502597801084147,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,Within state,0.09107658410070088,0.009529320604232287,4.908819944464123e-21,1487,38,2.1107925761195728e-19,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,Between states,0.4541210918503431,0.06997310761953551,1.2292029724397557e-7,1487,38,5.28557278149095e-6,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,Within state,-0.013554342350873329,0.007485584920895353,0.07032748999536997,2116,38,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,Between states,0.10250454801908808,0.05808541372843087,0.08559500063128712,2116,38,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,Within state,-0.01867038226239054,0.008144384030464026,0.02201820359621571,1540,39,0.28623664675080424,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,Between states,-0.016610889099836587,0.06486018042239566,0.7992058957542576,1540,39,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
