outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
CHR_HOMICIDES,meaning_cesi,Between states,0.24756724326098453,0.06430414814546193,4.80464702410954e-4,1018,39,0.018257658691616253,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
CHR_INFANT_MORTALITY,practice_cesi,Within state,-0.19787652209119197,0.024750025646424766,4.0908709395313945e-15,900,38,1.55453095702193e-13,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INFANT_MORTALITY,practice_cesi,Between states,-0.05209543975454185,0.06143979153438982,0.4010725375373796,900,38,1,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INFANT_MORTALITY,meaning_cesi,Within state,0.2231441124938132,0.026414490981631608,1.194715574572421e-16,893,39,4.6593907408324416e-15,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INFANT_MORTALITY,meaning_cesi,Between states,0.3313269663486668,0.056751618789752115,9.531502752520061e-7,893,39,3.9079161285332254e-5,County Health Rankings & Roadmaps 2025,Infant Mortality,"Deaths under age 1 per 1,000 live births",Worse health / higher mortality
CHR_INJURY_DEATHS,practice_cesi,Within state,-0.108319189446216,0.018079238399102773,2.449879099335655e-9,2087,38,9.064552667541923e-8,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_INJURY_DEATHS,practice_cesi,Between states,-0.1570273839216411,0.06087672437118759,0.013533595991388387,2087,38,0.5278102436641471,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_INJURY_DEATHS,meaning_cesi,Within state,0.019902000622064497,0.020426373021648344,0.33004756417418235,1540,39,1,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_INJURY_DEATHS,meaning_cesi,Between states,-0.11511979589407746,0.07863006646285321,0.15115755073089607,1540,39,1,County Health Rankings & Roadmaps 2025,Injury Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_LIFEEXP,practice_cesi,Within state,0.03580453624004183,0.014057445653419471,0.010936848029833232,2090,38,0.2406106566563311,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_LIFEEXP,practice_cesi,Between states,0.020511811242729536,0.04201075515455784,0.6278242102432592,2090,38,1,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_LIFEEXP,meaning_cesi,Within state,-0.0512327972740132,0.014872079195515099,5.866404167083668e-4,1540,39,0.01290608916758407,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_LIFEEXP,meaning_cesi,Between states,-0.12384008223276916,0.044439859205959165,0.00794815969792013,1540,39,0.2702374297292844,County Health Rankings & Roadmaps 2025,Life Expectancy,Years,Better health / greater longevity
CHR_MVC_DEATHS,practice_cesi,Within state,0.030364640614333503,0.015817612921513454,0.055046692295400025,1952,38,1,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_MVC_DEATHS,practice_cesi,Between states,0.11346826039479134,0.038595447401017974,0.005137073660098565,1952,38,0.21062002006404118,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_MVC_DEATHS,meaning_cesi,Within state,0.11763144426584976,0.016250247382894274,7.153617013208858e-13,1524,39,2.575302124755189e-11,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_MVC_DEATHS,meaning_cesi,Between states,0.28277113295624556,0.037369384231910927,3.729959414970384e-9,1524,39,1.6411821425869688e-7,County Health Rankings & Roadmaps 2025,Motor Vehicle Crash Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,practice_cesi,Within state,-0.0914545282816198,0.022473129551645373,4.963302961198612e-5,1489,38,0.0015882569475835558,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,practice_cesi,Between states,-0.1802442747721998,0.0753334579855505,0.021470881000678697,1489,38,0.8158934780257905,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,meaning_cesi,Within state,-0.0636007419461187,0.023874455154682415,0.007817255156150227,1322,39,0.12507608249840363,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_OVERDOSE_DEATHS,meaning_cesi,Between states,-0.21292441402671425,0.09359205171456972,0.028431393511168395,1322,39,0.7676476248015467,County Health Rankings & Roadmaps 2025,Drug Overdose Deaths,"Deaths per 100,000",Worse health / higher mortality
CHR_PREMATURE_AAM,practice_cesi,Within state,-0.05176394852269685,0.01386655349620987,1.9431371914441908e-4,2096,38,0.005635097855188153,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_AAM,practice_cesi,Between states,-0.010193509161527744,0.04162048471831011,0.8076880892527911,2096,38,1,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_AAM,meaning_cesi,Within state,0.047180076732110825,0.014829420983955068,0.0014943408274260307,1540,39,0.029886816548520614,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_AAM,meaning_cesi,Between states,0.1146126691958153,0.045225268023478135,0.015125101320775228,1540,39,0.4725950986382142,County Health Rankings & Roadmaps 2025,Premature Age-Adjusted Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_PREMATURE_DEATH,practice_cesi,Within state,-0.038134712416014856,0.015300598806294015,0.012767130064405127,2096,38,0.26810973135250765,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_PREMATURE_DEATH,practice_cesi,Between states,-0.030545489201458262,0.045641309592720516,0.5068783158623373,2096,38,1,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_PREMATURE_DEATH,meaning_cesi,Within state,0.043959707275550285,0.016150373187294082,0.00656418776848771,1540,39,0.11159119206429108,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_PREMATURE_DEATH,meaning_cesi,Between states,0.1026523494087406,0.052198760540582624,0.05596384810390225,1540,39,1,County Health Rankings & Roadmaps 2025,Premature Death,"Years of potential life lost before age 75 per 100,000 (age-adjusted)",Worse health / higher mortality burden
CHR_SUICIDES,practice_cesi,Within state,-0.05301975774676438,0.019526660000783593,0.006686945099733896,1805,38,0.1671736274933474,County Health Rankings & Roadmaps 2025,Suicide Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_SUICIDES,practice_cesi,Between states,-0.13331644777677176,0.08252068579405604,0.11533851987167704,1805,38,1,County Health Rankings & Roadmaps 2025,Suicide Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_SUICIDES,meaning_cesi,Within state,-0.018608568408891177,0.02190112044998037,0.3956512858040122,1490,39,1,County Health Rankings & Roadmaps 2025,Suicide Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_SUICIDES,meaning_cesi,Between states,-0.20920415494441655,0.11307837845951803,0.0728170175026773,1490,39,1,County Health Rankings & Roadmaps 2025,Suicide Mortality,"Deaths per 100,000 (age-adjusted)",Worse health / higher mortality
CHR_HIV_PREVALENCE,practice_cesi,Within state,-0.19052966881295547,0.015826715112882604,3.442803283357261e-32,1907,38,1.5148334446771949e-30,County Health Rankings & Roadmaps 2025,HIV Prevalence,"People living with diagnosed HIV per 100,000 age 13+",Higher infectious-disease burden
CHR_HIV_PREVALENCE,practice_cesi,Between states,0.033402917882430515,0.16668159037922187,0.8428543333731796,1907,38,1,County Health Rankings & Roadmaps 2025,HIV Prevalence,"People living with diagnosed HIV per 100,000 age 13+",Higher infectious-disease burden
CHR_HIV_PREVALENCE,meaning_cesi,Within state,0.09435113525251336,0.01836983286055842,3.1856808221027974e-7,1499,38,9.238474384098112e-6,County Health Rankings & Roadmaps 2025,HIV Prevalence,"People living with diagnosed HIV per 100,000 age 13+",Higher infectious-disease burden
CHR_HIV_PREVALENCE,meaning_cesi,Between states,0.1338812206156522,0.17836193417591195,0.46061304749073007,1499,38,1,County Health Rankings & Roadmaps 2025,HIV Prevalence,"People living with diagnosed HIV per 100,000 age 13+",Higher infectious-disease burden
CHR_LOW_BIRTH_WEIGHT,practice_cesi,Within state,-0.1324162453424534,0.015273245079855065,8.628521784510497e-18,2084,38,3.4514087138041987e-16,County Health Rankings & Roadmaps 2025,Low Birth Weight,Proportion of live births,Worse population health
CHR_LOW_BIRTH_WEIGHT,practice_cesi,Between states,0.04415634543995655,0.07313031943031915,0.5494156935615672,2084,38,1,County Health Rankings & Roadmaps 2025,Low Birth Weight,Proportion of live births,Worse population health
CHR_LOW_BIRTH_WEIGHT,meaning_cesi,Within state,0.1424778515354233,0.016263503658158398,5.069317740491346e-18,1540,39,2.0277270961965386e-16,County Health Rankings & Roadmaps 2025,Low Birth Weight,Proportion of live births,Worse population health
CHR_LOW_BIRTH_WEIGHT,meaning_cesi,Between states,0.3543024230854987,0.07036777465119513,1.1344473913232322e-5,1540,39,4.537789565292929e-4,County Health Rankings & Roadmaps 2025,Low Birth Weight,Proportion of live births,Worse population health
CHR_STI,practice_cesi,Within state,-0.14381558824691174,0.014134927434510393,9.357828326206714e-24,2083,38,4.023866180268887e-22,County Health Rankings & Roadmaps 2025,Sexually Transmitted Infections,"Diagnosed cases per 100,000",Higher infectious-disease burden
CHR_STI,practice_cesi,Between states,-0.057547540887556765,0.061270145468494526,0.35358235762070866,2083,38,1,County Health Rankings & Roadmaps 2025,Sexually Transmitted Infections,"Diagnosed cases per 100,000",Higher infectious-disease burden
CHR_STI,meaning_cesi,Within state,0.15018823476850351,0.01641090707995428,1.7353138152460494e-19,1539,39,7.288318024033407e-18,County Health Rankings & Roadmaps 2025,Sexually Transmitted Infections,"Diagnosed cases per 100,000",Higher infectious-disease burden
CHR_STI,meaning_cesi,Between states,0.25581489931450047,0.05359422278031345,2.9566448189948375e-5,1539,39,0.0011530914794079866,County Health Rankings & Roadmaps 2025,Sexually Transmitted Infections,"Diagnosed cases per 100,000",Higher infectious-disease burden
CHR_TEEN_BIRTHS,practice_cesi,Within state,0.03869692781593293,0.014600859393124022,0.008104127394446683,2050,38,0.1944990574667204,County Health Rankings & Roadmaps 2025,Teen Births,"Births per 1,000 females ages 15-19",Higher reproductive-health risk
CHR_TEEN_BIRTHS,practice_cesi,Between states,0.04411955165685502,0.0324885119059859,0.1813298592892647,2050,38,1,County Health Rankings & Roadmaps 2025,Teen Births,"Births per 1,000 females ages 15-19",Higher reproductive-health risk
CHR_TEEN_BIRTHS,meaning_cesi,Within state,0.02829493686772745,0.01618400742253907,0.0806068108709902,1539,39,0.7254612978389118,County Health Rankings & Roadmaps 2025,Teen Births,"Births per 1,000 females ages 15-19",Higher reproductive-health risk
CHR_TEEN_BIRTHS,meaning_cesi,Between states,0.0770481814260912,0.03975088487431086,0.05956780324342294,1539,39,1,County Health Rankings & Roadmaps 2025,Teen Births,"Births per 1,000 females ages 15-19",Higher reproductive-health risk
