county_fips,county_population22,county_age22,county_income22,county_bachelor22,county_hs22
5031,111038,34.4,55169,0.28206102,0.90177378
5033,60593,39.2,56702,0.20317329,0.85469545
5035,47945,35.8,51860,0.176272406,0.85578307
5037,16827,40.7,48129,0.160643265,0.83468788
5039,6472,45.8,40085,0.130378934,0.88439306
5041,11285,40.7,38067,0.130672214,0.78975426
5043,17309,37.5,44968,0.250229232,0.87364753
5045,124611,33.8,61273,0.324789094,0.93039771
5047,17160,42.5,47695,0.122993763,0.86245322
5049,12183,47.4,38917,0.143890675,0.86874139
5051,100021,45.4,54229,0.252458477,0.90640644
5053,18022,40.2,68598,0.187802363,0.92640178
5055,45954,37.8,54879,0.165611064,0.87917663
5057,20037,40.4,45049,0.157882866,0.83888429
5059,33129,42.6,50260,0.155024561,0.88539672
5061,12779,39.7,44824,0.149794239,0.88418577
5063,37910,39.1,52361,0.17106611,0.86848948
5065,13748,47.7,46159,0.189341753,0.83247225
5067,16784,40.2,41929,0.11855454,0.8625807
5069,66934,39.5,46855,0.201514091,0.89084106
5071,25925,39,42470,0.150391645,0.80475776
5073,6277,48.3,40262,0.106114311,0.81058928
5075,16258,39.8,43606,0.129497717,0.82273973
5077,8666,41.6,33801,0.077022445,0.83513644
5079,13016,40.6,50526,0.08134306,0.83481563
5081,12024,42.3,58627,0.159239453,0.90576352
5083,21247,43.5,51131,0.143430753,0.88151659
5085,74292,37,68078,0.199292548,0.89868559
5087,16737,41.1,51514,0.123133688,0.84966535
5089,16905,51.7,42891,0.15231068,0.87735922
5091,42682,39.9,47613,0.156011467,0.86681864
5093,40361,37,50012,0.148009761,0.828237
5095,6787,45.8,41786,0.141898973,0.80192832
5097,8555,50.5,47103,0.163909077,0.86748106
5099,8292,44.7,43421,0.109421955,0.89605798
5101,7243,48.7,50699,0.147822765,0.84931245
5103,22606,43.9,47348,0.149539829,0.88162488
5105,10055,44,53980,0.151985459,0.91009508
5107,16373,39.7,37458,0.152389878,0.81996251
5109,10205,43.3,49248,0.185055376,0.88672368
5111,22997,39.9,43440,0.115448611,0.81793165
5113,19384,44.4,48449,0.162696064,0.88036401
5115,63475,36.7,51678,0.238809971,0.85297629
5117,8217,46.5,47045,0.159826493,0.85585586
5119,398322,37.7,58326,0.370413441,0.92054579
5121,18619,39.1,45993,0.155475651,0.87368092
5123,23138,38.8,39822,0.132706952,0.84242201
5125,123988,40.3,73236,0.284575486,0.91914691
5127,9871,42.8,45340,0.120422637,0.83832682
5129,7880,46.9,42063,0.149459365,0.81984653
5131,128184,38,54047,0.239213723,0.85034877
5133,15913,34.9,53567,0.116670063,0.73527614
