county_fips,pop_total,White,pct_white,BlackAmerican ,pct_black,NativeAmerican,pct_native,AsianAmerican,pct_asian,NativeHawaiian_PI,pct_nativehawaiian,OtherRace,pct_otherrace,Multiracial,pct_multiracial,Latino,pct_latino
1077,94329,78667,0.833964104,9197,0.097499178,213,0.002258054,574,0.006085085,64,0.000678476,125,0.001325149,2686,0.028474806,2803,0.029715146
1079,33116,25273,0.763165841,3366,0.10164271,1669,0.050398599,97,0.002929098,17,0.000513347,13,0.000392559,1852,0.055924629,829,0.025033217
1081,175126,117221,0.669352352,38635,0.220612588,224,0.001279079,7530,0.042997613,49,0.000279799,581,0.003317611,4106,0.023445976,6780,0.038714982
1083,104199,77842,0.747051315,13547,0.130010845,438,0.004203495,1872,0.017965623,61,0.000585418,86,0.000825344,3765,0.036132784,6588,0.063225175
1085,10153,2493,0.245543189,7595,0.748054762,0,0,0,0,0,0,0,0,46,0.004530681,19,0.001871368
1087,19198,3098,0.161370976,15130,0.788102927,7,0.000364621,73,0.003802479,0,0,11,0.000572976,426,0.022189811,453,0.023596208
1089,389781,247345,0.634574287,94612,0.242731175,1699,0.004358858,9547,0.024493241,193,0.00049515,1024,0.002627116,14750,0.037841762,20611,0.052878411
1091,19180,8539,0.445203337,9749,0.508289885,36,0.001876955,151,0.007872784,0,0,0,0,163,0.008498436,542,0.028258603
1093,29203,26508,0.907714961,1113,0.038112523,23,0.00078759,85,0.00291066,8,0.000273944,0,0,676,0.023148307,790,0.027052015
1095,97923,77450,0.790927566,2672,0.027286746,129,0.001317362,595,0.006076203,78,0.000796544,186,0.001899452,2062,0.021057361,14751,0.150638767
1097,413878,231005,0.55814757,149056,0.360144777,1589,0.003839296,8297,0.02004697,95,0.000229536,1285,0.00310478,9986,0.024127883,12565,0.030359188
1099,19816,10632,0.536536132,8384,0.423092451,260,0.013120711,47,0.002371821,13,0.000656036,0,0,436,0.022002422,44,0.002220428
1101,228132,72150,0.316264268,134336,0.588852068,156,0.000683815,7593,0.033283362,8,3.51E-05,263,0.001152841,5029,0.022044255,8597,0.037684323
1103,123102,91445,0.742839271,15886,0.129047457,272,0.00220955,592,0.00480902,15,0.00012185,334,0.002713197,3713,0.030161979,10845,0.088097675
1105,8479,2405,0.283641939,5943,0.700908126,1,0.000117938,0,0,0,0,0,0,48,0.005661045,82,0.009670952
1107,18925,10141,0.535852048,7416,0.391862616,33,0.001743725,10,0.000528402,0,0,19,0.001003963,319,0.016856011,987,0.052153236
1109,32997,18245,0.552929054,12282,0.372215656,112,0.003394248,658,0.019941207,0,0,0,0,901,0.027305513,799,0.024214323
1111,22179,16553,0.746336625,4203,0.189503584,21,0.000946842,62,0.002795437,0,0,87,0.00392263,584,0.026331214,669,0.030163668
1113,58849,25923,0.440500263,26170,0.444697446,88,0.001495353,459,0.007799623,58,0.000985573,590,0.010025659,2110,0.035854475,3451,0.058641608
1115,91719,77572,0.84575715,8839,0.096370436,290,0.003161831,373,0.004066769,61,0.000665075,310,0.003379889,1949,0.021249687,2325,0.025349164
1117,223916,169919,0.758851534,29071,0.129829936,331,0.001478233,4483,0.020020901,22,9.83E-05,1120,0.005001876,5775,0.025790922,13195,0.058928348
1119,12196,3069,0.251639882,8813,0.722613972,10,0.000819941,41,0.003361758,0,0,0,0,178,0.014594949,85,0.006969498
1121,81105,50504,0.62269897,25788,0.317958202,124,0.001528882,350,0.004315394,21,0.000258924,34,0.00041921,2287,0.028198015,1997,0.024622403
1123,41251,28305,0.686165184,10927,0.264890548,26,0.000630288,190,0.004605949,0,0,59,0.001430268,734,0.017793508,1010,0.024484255
1125,231558,140053,0.604829028,74051,0.319794609,156,0.000673697,3654,0.015780064,24,0.000103646,229,0.000988953,4130,0.017835704,9261,0.039994299
1127,64978,56899,0.87566561,3890,0.059866416,100,0.001538982,122,0.001877559,0,0,260,0.004001354,1839,0.028301887,1868,0.028748192
1129,15434,10084,0.653362706,3607,0.233704808,1042,0.067513282,62,0.004017105,0,0,20,0.00129584,358,0.023195542,261,0.016910717
1131,10441,2860,0.273920123,7328,0.701848482,7,0.000670434,4,0.000383105,0,0,0,0,220,0.021070779,22,0.002107078
1133,23655,21834,0.923018389,263,0.011118157,43,0.001817798,105,0.004438808,0,0,0,0,642,0.02714014,768,0.032466709
2013,3407,536,0.157323158,172,0.050484297,1248,0.366304667,676,0.198415028,10,0.002935134,15,0.0044027,345,0.101262107,405,0.118872909
2016,5219,1222,0.234144472,201,0.038513125,426,0.081624832,2114,0.40505844,183,0.035064189,0,0,271,0.051925656,802,0.153669285
2020,290674,160574,0.552419549,14793,0.050892065,20464,0.070401894,27795,0.095622588,8376,0.028815787,1928,0.00663286,28582,0.098330088,28162,0.09688517
2050,18538,1632,0.088035387,214,0.011543856,15275,0.82398317,260,0.014025245,40,0.00215773,0,0,718,0.038731255,399,0.021523357
2060,854,379,0.443793911,3,0.003512881,257,0.300936768,48,0.056206089,17,0.019906323,11,0.012880562,65,0.076112412,74,0.086651054
2063,7000,4934,0.704857143,113,0.016142857,369,0.052714286,478,0.068285714,94,0.013428571,120,0.017142857,478,0.068285714,414,0.059142857
2066,2614,1370,0.524100995,1,0.000382555,886,0.338944147,12,0.004590666,0,0,0,0,174,0.066564652,171,0.065416985
2068,2101,1581,0.75249881,48,0.022846264,64,0.030461685,73,0.034745359,0,0,30,0.014278915,270,0.128510233,35,0.016658734
2070,4854,694,0.142974866,76,0.01565719,3397,0.699835187,78,0.016069221,3,0.000618047,2,0.000412031,442,0.09105892,162,0.033374536
2090,96299,65269,0.677774432,3786,0.03931505,6423,0.066698512,2981,0.030955669,653,0.006780963,510,0.005296005,8639,0.089710174,8038,0.083469195
2100,2079,1514,0.728234728,0,0,129,0.062049062,68,0.032708033,0,0,0,0,198,0.095238095,170,0.081770082
2105,2329,1158,0.497209103,0,0,650,0.279089738,19,0.008158008,4,0.001717475,0,0,268,0.115070846,230,0.09875483
2110,32108,19855,0.618381712,332,0.010340102,2967,0.092406877,2176,0.067771272,437,0.013610315,117,0.003643952,3924,0.122212533,2300,0.071633238
2122,59235,46195,0.77985988,374,0.006313835,4372,0.073807715,1013,0.017101376,219,0.003697139,391,0.006600827,4048,0.068337976,2623,0.044281253
2130,13910,8608,0.61883537,89,0.006398275,1949,0.140115025,1166,0.083824587,29,0.002084831,40,0.002875629,1244,0.089432063,785,0.05643422
2150,13065,6007,0.459778033,102,0.007807118,1484,0.113585917,2964,0.226865672,2,0.000153081,51,0.003903559,1305,0.099885189,1150,0.088021431
2158,8372,262,0.031294792,70,0.008361204,7606,0.908504539,14,0.001672241,12,0.001433349,0,0,332,0.039655996,76,0.009077879
2164,999,171,0.171171171,22,0.022022022,617,0.617617618,35,0.035035035,0,0,0,0,153,0.153153153,1,0.001001001
2170,108661,83383,0.767368237,1384,0.012736861,6489,0.059717838,1946,0.017908909,411,0.003782406,473,0.004352988,8501,0.078234141,6074,0.05589862
2180,10018,1391,0.13885007,99,0.009882212,7518,0.750449191,130,0.012976642,2,0.000199641,0,0,677,0.067578359,201,0.020063885
2185,10924,3417,0.31279751,193,0.017667521,5386,0.493042841,585,0.053551813,209,0.019132186,13,0.00119004,693,0.063438301,428,0.039179788
2188,7682,737,0.095938558,95,0.012366571,6180,0.804478001,99,0.012887269,11,0.001431919,0,0,364,0.047383494,196,0.025514189
2195,3374,1842,0.545939538,39,0.01155898,224,0.066390041,602,0.178423237,16,0.004742146,11,0.003260225,334,0.098992294,306,0.090693539
2198,5799,2536,0.437316779,22,0.003793758,2177,0.375409553,80,0.013795482,45,0.007759959,22,0.003793758,681,0.11743404,236,0.040696672
2220,8462,5068,0.598912787,48,0.005672418,767,0.090640511,648,0.076577641,103,0.012172063,63,0.007445048,1139,0.134601749,626,0.073977783
2230,1303,997,0.765157329,40,0.030698388,64,0.049117421,29,0.022256332,0,0,0,0,141,0.108211819,32,0.024558711
2240,6888,4945,0.717915215,61,0.008855981,876,0.1271777,214,0.031068525,2,0.00029036,5,0.0007259,294,0.042682927,491,0.071283391
2275,2134,1187,0.556232427,1,0.000468604,465,0.217900656,18,0.008434864,46,0.021555764,0,0,294,0.137769447,123,0.057638238
2282,564,173,0.306737589,12,0.021276596,136,0.241134752,114,0.20212766,12,0.021276596,0,0,80,0.141843972,37,0.065602837
2290,5355,1165,0.217553688,10,0.001867414,3580,0.66853408,72,0.013445378,4,0.000746965,6,0.001120448,375,0.070028011,143,0.026704015
4001,66054,12006,0.181760378,581,0.008795834,47415,0.717821782,374,0.005662034,71,0.001074878,37,0.000560148,936,0.014170224,4634,0.070154722
4003,125504,67368,0.536779704,4121,0.032835607,651,0.005187086,2371,0.018891828,401,0.003195117,283,0.002254908,5500,0.043823304,44809,0.357032445
4005,144705,76644,0.529656888,2107,0.014560658,35471,0.245126291,2646,0.018285477,162,0.001119519,559,0.003863032,5802,0.040095366,21314,0.147292768
4007,53419,32681,0.611786069,354,0.006626856,8118,0.151968401,383,0.007169734,15,0.000280799,42,0.000786237,1550,0.029015893,10276,0.192366012
4009,38453,19395,0.504381973,730,0.018984214,4450,0.115725691,241,0.006267391,24,0.000624139,100,0.002600577,628,0.016331626,12885,0.335084389
4011,9483,4243,0.447432247,171,0.018032268,318,0.033533692,71,0.007487082,0,0,0,0,103,0.010861542,4577,0.482653169
4012,16681,9358,0.560997542,69,0.004136443,2024,0.121335651,153,0.009172112,3,0.000179845,0,0,375,0.022480667,4699,0.28169774
4013,4430871,2359261,0.532459871,239826,0.054126153,60562,0.013668193,184817,0.041711212,8260,0.001864193,16505,0.003725001,158887,0.03585909,1402753,0.316586287
4015,214229,161721,0.754897796,2312,0.01079219,3215,0.015007305,2294,0.010708167,442,0.002063213,308,0.001437714,6719,0.031363634,37218,0.173729981
4017,107110,44883,0.419036505,1008,0.009410886,44591,0.416310335,394,0.003678461,152,0.001419102,150,0.001400429,3204,0.029913173,12728,0.118831108
4019,1042393,521766,0.500546339,32787,0.031453588,21221,0.020357965,29112,0.027928046,1498,0.001437078,2737,0.002625689,36191,0.034719151,397081,0.380932144
4021,433338,237577,0.548248711,18929,0.043681837,16638,0.038394971,6423,0.014822148,1462,0.00337381,1359,0.00313612,15604,0.036008843,135346,0.312333559
4023,47838,7201,0.150528868,79,0.001651407,84,0.001755926,65,0.001358752,73,0.001525984,50,0.001045194,554,0.011580752,39732,0.830553117
