county_fips,median_household_income_2022,median_household_income_moe_2022,population_25plus,high_school_or_higher_pct,bachelors_or_higher_pct,high_school_or_higher_count_moe,bachelors_or_higher_count_moe
01001,68315,4941,40188,90.40260774360506,29.5585746989151,1568.1763293711585,983.5247836226599
01003,71039,2374,167022,91.59931027050328,32.561578714181366,3977.9350170660155,2488.273296886819
01005,39712,3289,17675,76.4922206506365,11.881188118811881,711.9332833910773,278.7023501874356
01007,50669,8260,15925,78.86342229199371,10.919937205651491,899.5571132507374,358.3503871910842
01009,57440,3308,40817,81.75515104000785,14.741406766788348,1484.1802451184965,665.3886082583621
01011,36136,4731,7156,73.37898267188373,9.376746785913918,633.9227082223825,205.10728899773406
01013,44429,4102,13266,87.59234132368461,13.048394391677974,662.151795285643,214.18449990603895
01015,54339,2221,78931,85.07177154730081,19.15343781277318,2259.764810771245,1031.7087767388625
01017,48805,5967,24706,83.45745972638225,12.733748886910062,1016.933626152661,442.30080262192604
01019,46621,3697,18523,81.9251741078659,14.592668574205042,935.0598911299746,372.75863504417975
01021,62471,3466,30609,82.16210918357346,13.973014472867458,1237.4720198857024,584.2687737676899
01023,43299,8544,9052,82.39063190455148,13.046840477242599,558.824659441582,240.4766100892143
01025,47549,7087,16015,81.39244458320324,13.768342179206993,827.6865348669145,377.83329657403146
01027,48074,4545,10053,83.33830697304288,12.762359494678206,610.4056028576409,264.64693461289136
01029,51553,4006,10630,82.54938852304798,16.491063029162746,597.0142376861711,321.17596423144744
01031,62199,3570,36556,86.62052741000109,21.60794397636503,1109.5354883914258,547.9644149030117
01033,56149,3200,40835,86.38178033549652,18.043345169584914,1580.5508533419606,738.6765191882032
01035,39888,4152,8382,89.42973037461226,13.314244810307802,716.0188545003546,235.8686074915439
01037,52279,4025,8049,83.48863212821469,10.634861473474967,510.73280685697097,184.5697700058165
01039,48772,4644,26447,85.75641849737211,16.30808787386093,988.8361846130025,371.0875907383592
01041,48557,3908,9148,82.07258417140359,17.195015303891562,504.1458122408635,228.10304688890062
01043,58119,2269,61520,84.61313394018205,18.296488946684004,1918.8256825464891,951.9842435670876
01045,52813,3967,33687,85.66212485528543,19.161694422180663,1092.1790146308433,515.8081038525859
01047,37180,3448,25984,85.3101908866995,15.694273399014778,1158.8252672426504,480.7722953748479
01049,47920,2836,48385,77.72656815128656,14.149013123902035,1596.3834125923509,731.0430903852385
01051,73258,2727,61046,88.54634210267668,24.16046915440815,1907.983752551368,982.3431172457005
01053,41153,2502,25461,82.2669965830093,12.556458897922312,999.6559408116375,427.8294052540101
01055,52177,1922,72715,86.11840748126247,17.7198652272571,1970.4809057689445,867.4958213155842
01057,45650,6646,11428,83.74168708435421,13.003150157507875,687.0866029839325,275.2798575994982
01059,47359,4879,21351,80.09929277317222,14.828345276567843,999.5944177515198,504.82373161332265
01061,47608,4353,18982,83.40006321778527,13.91318090822885,901.0416194604998,434.07603020669086
01063,32796,4030,5449,81.88658469443935,16.71866397504129,572.4133122141727,217.19116004110296
01065,35851,7915,9980,80.57114228456913,16.372745490981963,614.0146578054957,297.2204569002612
01067,58395,5437,12561,81.53013295119815,20.961706870472096,641.7359269980137,334.08681506458765
01069,55064,1412,73993,87.61504466638736,22.4602327247172,1263.4678468405914,634.6597513628858
01071,46748,2079,37823,82.03474076620046,16.188562514871904,1394.9125420613293,651.3439951362107
01073,63595,1305,457310,91.06339244713652,35.5714941724432,5473.343950456613,3589.5730943943736
01075,49565,4483,9894,82.06994137861331,10.238528401051141,606.2581958208895,219.26696057545925
01077,56081,3092,64564,88.78786940090453,25.8255374512112,1852.9732863697739,958.3600575983955
01079,54786,3498,23478,82.66462219950591,15.780730897009967,1125.7504163889969,697.2395571107537
01081,59288,2943,107084,91.7121138545441,40.16286279929775,3130.5903596606186,2011.325185045919
01083,80146,4029,73067,87.32670015191536,29.530430974311248,2183.3943757370084,1310.3869657471414
01085,33125,4764,7035,83.32622601279317,16.318407960199004,451.6658056572359,208.9138578457638
01087,41206,4232,11880,82.71885521885523,20.555555555555557,616.7592723259213,314.21648588194734
01089,78058,2232,267305,92.22461233422494,45.085576401488936,4528.425554207555,3017.6161120990855
01091,42975,5993,12997,89.10517811802724,21.958913595445104,766.07375624022,422.52692221916465
01093,49743,3692,20785,80.62063988453211,11.830647101274957,1006.5346491800468,429.92673794496665
01095,58272,2006,64995,84.36648972997924,21.421647819063004,1708.5619684401265,850.3869707374403
01097,55352,1348,279868,88.13369159746738,24.20819815055669,4305.283382078351,2514.0688136962362
01099,39965,6253,13707,83.6944626833005,13.511344568468665,693.5308212329139,335.0567116176006
01101,56707,1821,151442,87.96767079145812,33.677579535399694,3175.600888021037,1970.387271578864
01103,61588,2499,84874,85.23104837759503,23.847114546268585,2347.9337724901866,1109.9409894224107
01105,32332,7059,5314,79.58223560406473,15.223936770794129,547.1846123567439,210.39961977151955
01107,45339,2865,13592,84.94702766333137,14.508534432018834,626.5093774238339,280.34621452768005
01109,42616,4107,19205,87.89898463941682,27.71153345482947,877.30154451021,541.4665271279472
01111,49879,8209,15614,82.01613936211092,18.803637760983733,801.398777139072,483.9659078902149
01113,47420,2828,39868,85.191130731413665,16.36400120397311,1653.0417417597173,831.7848279453046
01115,73218,4451,64523,87.28670396602762,19.32799156889791,2021.441070127942,1001.7349948963548
01117,90618,3328,153645,93.79283413062579,45.60382700380748,3001.968520820963,1948.6605656193692
01119,31726,6535,7354,88.80881153113951,21.756867011150394,536.8314446825931,272.2296824374594
01121,52457,2838,57406,83.21255617879665,16.602794133017454,1754.0590069892176,840.6069235974684
01123,53282,3175,29557,81.87908109754035,18.15136854213892,1214.6229867740853,499.73092760004357
01125,61645,2209,141959,90.64025528497665,30.87652068555005,3350.7448425685893,1971.2764899932226
01127,52987,3833,45281,82.66601886000751,15.288973300059627,1467.5476142190412,759.7808894674832
01129,51184,5632,10500,88.26666666666667,14.219047619047618,678.2720693055259,278.2355117521845
01131,38208,3720,7069,77.70547460744093,11.614089687367379,471.0679356525978,170.32322213955442
01133,49494,4717,16998,80.03882809742322,13.825155900694199,755.4991727328363,323.5042503584767
02013,79961,6768,2675,81.00934579439253,16.934579439252335,196.21671692289624,100.94057657849989
02016,100662,7734,3861,89.53638953638954,15.436415436415436,316.48380685273617,110.4445562261898
02020,95731,2829,192454,94.17938832136511,37.034304301287584,3699.8639164163865,2359.138402044272
02050,64094,6460,10109,82.73815412009101,9.694331783559205,644.8356379729644,203.3592879609879
02060,94167,12682,636,94.96855345911949,26.257861635220127,134.39866070761272,104.75208828467335
02063,83068,10732,4929,94.5425035504159,31.46682897139379,415.1782749614917,240.02083242918727
02066,70606,9374,1791,92.40647682858739,28.084868788386377,190.0841918729698,104.31203190428226
02068,87292,10131,1674,96.6547192353644,25.149342891278376,408.8618348537804,193.20196686369422
02070,69412,26682,2902,88.11164713990351,20.468642315644384,678.9815903248041,489.29541179128177
02090,81655,4690,61350,94.66829665851671,32.945395273023635,2185.9446470576513,1214.4735484974549
02100,68276,17797,1420,97.67605633802818,33.66197183098591,211.45448682872635,111.35977729862789
02105,62344,5516,1838,94.0152339499456,27.529923830250272,176.50779019635365,126.64122551523259
02110,95711,6801,22947,95.44166993506776,40.73735128775003,967.4673121093033,556.0278769989865
02122,76272,3470,41645,94.22739824708849,27.96734301836955,1259.701551955859,727.1506033828206
02130,82763,5567,9869,94.7411085216334,28.49326172864525,414.0338150441338,213.12437683193352
02150,91138,11155,8634,91.23233727125319,28.468844104702338,598.5941864067843,337.4388833551937
02158,42663,3389,4052,81.41658440276407,4.590325765054295,307.7905131741393,170.37311994560645
02164,61607,7202,651,90.78341013824885,15.514592933947773,146.8945199794737,48.78524367060187
02170,86435,2503,71369,94.22298196696045,23.654527876248792,1459.240555905708,731.4376255019972
02180,70121,3554,5564,88.22789360172538,18.314162473040977,309.58197621954673,158.43610699584863
02185,83472,17869,7601,90.67227996316274,14.195500592027365,594.7680220052184,259.50915205441214
02188,77647,6180,4230,86.05200945626477,15.153664302600474,340.089694051437,254.4307371368483
02195,77826,13410,2537,86.95309420575482,24.793062672447775,193.1760854764378,96.06768447297978
02198,61779,3488,4151,92.45964827752348,19.392917369308602,201.68044030098704,94.4828026679988
02220,95261,5498,6071,95.22319222533355,34.19535496623291,364.35971237226545,222.71506460048903
02230,79583,10798,970,92.68041237113403,27.835051546391753,148.05742129322664,83.55836283700154
02240,75378,7772,4534,93.7362152624614,19.783855315394796,320.8691322018994,148.35767590522573
02275,61000,9442,1559,87.10711994868505,18.02437459910199,144.50259513240584,62.81719509815764
02282,76875,23980,397,93.95465994962217,10.831234256926953,81.58431221748455,43.55456348076513
02290,47826,5856,3451,87.0182555780933,14.14082874529122,260.43617260280877,102.80564186852781
04001,37483,3091,42220,84.00994789199432,13.78256750355282,1126.0115452338844,494.2873658106183
04003,58421,2593,88211,88.91294736484112,26.696217025087574,1983.8056860489135,1101.7481563406402
04005,67266,1828,86631,91.45109718230195,39.59321720862047,2178.0018365465166,1562.0749021733882
04007,55242,2715,39673,87.14490963627657,18.085347717591308,1340.8698669147577,655.9192023412639
04009,64089,4152,24362,84.62359412199326,13.952056481405467,1007.661649562987,366.92506046875565
04011,73756,3780,5854,85.94123676118893,16.672360778954562,497.62335154210757,231.62469643800938
04012,46634,2584,13188,82.61298149833182,12.382468911131332,774.3255129465902,302.55412738880295
04013,80675,588,2987215,89.1755364110049,34.98486048041403,13693.696469543935,8387.571817874348
04015,53592,1874,165754,87.77525730902421,14.40628883767511,3242.8865228373315,1345.3215229081857
04017,50335,2034,70604,85.6424565180443,17.290805053538044,1801.7699631195987,841.1676408421807
04019,64323,957,705718,89.47199873037106,34.98408712828637,6527.733297247981,3890.796576538023
04021,73313,1177,302970,88.46387431098789,21.404759547149883,4579.148064869709,2155.408777935174
04023,51885,3210,30749,77.97326742333084,23.503203356206704,1246.5524457478714,710.3731413841601
04025,62430,1633,184475,92.14636129556851,28.679766906084836,3564.6041856004153,2041.546962477229
04027,56439,1344,131335,76.18837324399436,16.423649446073018,2433.016646058962,1066.4515929004936
05001,58695,2163,11889,85.9702245773404,15.779291782319792,592.9645857890672,259
05003,44804,5203,13222,85.87203146271366,11.579186204810165,716.9114310708122,272.19294627157404
05005,47403,2413,31982,89.62541429554125,18.160215121005567,1244.4404365014823,619.8403020133493
05007,85269,1607,188577,90.12445844403082,35.508041807855676,3254.4724610910444,1794.2619652659419
05009,52275,3148,26260,90.6054836252856,16.62985529322163,1163.8320325545262,503.6725126508295
05011,43688,3469,7105,85.84095707248417,12.540464461646728,473.19340654747083,184.05977290000115
05013,60237,6104,3462,85.29751588677065,12.536106296938186,307.39225754725834,137.21515951235125
05015,56826,5487,20180,85.78790882061448,21.442021803766107,1073.9045581428547,485.7365541113825
05017,36593,4587,7065,79.64614295824487,17.62208067940552,443.3012519720647,201.50930499607207
05019,48071,5734,12424,89.72955569864777,26.448808757244045,665.8032742484825,368.286573200816
05021,44685,4385,10342,84.29704119125894,15.383871591568361,588.8284979516532,221.07917133913816
05023,52780,3476,18612,87.9056522673544,17.18783580485708,871.2766495206904,402.1405227031964
05025,48913,5969,5413,91.87142065398116,15.869203768704969,387.2311970903171,170.90640713560157
05027,47441,6433,14189,88.30784410458806,18.986538868137288,904.5136814885666,411.717135907652
05029,50282,4273,14483,89.208037008907,19.146585652143894,778.7605537005583,385.5723019097715
05031,55169,2630,71091,90.17737828979759,28.206102038232686,2099.8730914033827,1181.1528266909409
05033,56702,2201,41093,85.46954469130995,20.317328985471978,1502.0549257600403,873.593154735086
05035,51860,3801,30572,85.57830694753369,17.627240612325004,1082.5433016743486,522.7446795520735
05037,48129,6592,11566,83.46878782638768,16.064326474148366,607.8116484569871,299.4077487307234
05039,40085,9399,4671,88.4393063583815,13.037893384714193,421.28612604736935,144.08330923462302
05041,38067,4386,7691,78.97542582238981,13.0672214276427,436.90387958909224,187.0347561283731
05043,44968,5175,10906,87.36475334678158,25.022923161562442,665.0187967268294,394.7834849635937
05045,61273,3234,77167,93.03977088651885,32.478909378361216,2116.345907454639,1344.4296188346939
05047,47695,4935,12025,86.24532224532224,12.299376299376299,750.5031645502902,291.15803269015265
05049,38917,3644,8708,86.87413872301332,14.389067524115756,648.6539909689911,312.1570117745235
05051,54229,2613,72911,90.6406440729108,25.245847677305207,2165.201145390423,1147.2806979985326
05053,68598,7227,12609,92.64017765088428,18.780236339122848,744.5831048311532,379.9078835717943
05055,54879,2724,30946,87.91766302591611,16.561106443482196,1309.9541976725752,532.092097291437
05057,45049,4022,13301,83.88842944139539,15.788286594992858,737.0474882936649,325.5533750401
05059,50260,4610,24022,88.53967196736325,15.502456081924903,1176.1938615721474,464.9881718925762
05061,44824,6121,8505,88.4185773074662,14.979423868312757,545.0798106699605,237.96008068581588
05063,52361,4661,25382,86.84894807343787,17.106610984162003,1162.3566578292568,523.4061520463816
05065,46159,6295,10452,83.24722541140451,18.93417527745886,604.7627634039649,312.27551937351734
05067,41929,3365,11927,86.25806992537939,11.85545401190576,615.4396802286964,249.40930215210497
05069,46855,2150,45704,89.08410642394539,20.151409067040085,1472.5162138326355,631.5504730423373
05071,42470,3469,17235,80.47577603713374,15.03916449086162,752.2878438470211,358.6167871140446
05073,40262,8531,4514,81.05892778023926,10.611431103234382,314.5854414940399,115.5551816233266
05075,43606,3565,10950,82.27397260273973,12.949771689497718,472.55370065210576,201.75727991822254
05077,33801,6518,6193,83.51364443726789,7.702244469562409,390.9475668168303,140.3388755833536
05079,50526,5374,10007,83.48156290596583,8.134305985809933,542.6002211573452,163.75896922000945
05081,58627,11485,8415,90.57635175282235,15.923945335710041,544.5410911951457,253.64147925763245
05083,51131,2630,15192,88.15165876777252,14.343075302790943,690.3021077760085,304.4256887977754
05085,68078,2801,49756,89.86855856580111,19.929254763244632,1550.949709049265,729.536154004721
